repo,pipeline,sample_date,commit,commit_date,tool,tool_version,status,reason,commit_validated,duration_sec,grey,white,red,yellow,light_green,dark_green,purple,exec_total,dot_red,dot_yellow,dot_green,art_total,tracked,verified,verified_trusted,translated
dalek-verus,verus,2025-07-18,04be8a274148b06e5602dd517036e434746b1b68,2025-07-18T15:13:14+00:00,probe-verus,7.0.0,verify_error,verify produced no statuses (exit=1); likely build/toolchain error,True,71.8,288,493,0,0,0,0,1,782,0,0,25,25,494,0,1,0
dalek-verus,verus,2025-08-15,4734da5d83d3e3847d6d0bceba233796be4089e2,2025-08-13T10:25:02+00:00,probe-verus,7.0.0,ok,,True,17.4,80,269,0,7,3,13,3,375,0,0,114,114,295,16,19,0
dalek-verus,verus,2025-09-12,e392e21718b9f0193e39e68165bf97509f55f488,2025-09-08T14:09:31+00:00,probe-verus,7.0.0,ok,,True,16.7,80,280,0,8,3,12,3,386,0,0,142,142,306,15,18,0
dalek-verus,verus,2025-10-10,5c638956273489e34280b25316c547165f4366d0,2025-10-10T18:40:15+00:00,probe-verus,7.0.0,ok,,True,38.1,80,272,0,16,5,15,10,398,0,0,155,155,318,20,30,0
dalek-verus,verus,2025-11-07,8c3d0acaed227f4460b47cb58fc23fa072234324,2025-11-07T18:19:48+00:00,probe-verus,7.0.0,ok,,True,24.5,73,196,0,58,8,40,45,420,0,1,370,371,347,48,93,0
dalek-verus,verus,2025-12-05,76c4c2faf1f40c32c1cb964d23f58099c84a4c39,2025-12-05T14:42:17+00:00,probe-verus,7.0.0,ok,,True,100.0,87,123,0,81,37,72,51,451,0,2,671,673,364,109,160,0
dalek-verus,verus,2026-01-02,1b82b3da6e41820621baf0d753ece5da81748551,2025-12-31T04:03:12+00:00,probe-verus,7.0.0,ok,,True,31.4,87,105,0,84,50,92,54,472,0,2,760,762,385,142,196,0
dalek-verus,verus,2026-01-30,e083340cb2a6917fc2e81b7bdd1fb779b621dbfe,2026-01-28T16:27:37+00:00,probe-verus,7.0.0,ok,,True,39.0,99,59,0,82,58,131,75,504,0,7,918,925,405,189,264,0
dalek-verus,verus,2026-02-27,8325bb6db33326fc19a1d669c9a9a2dc40749153,2026-02-27T08:32:34+00:00,probe-verus,7.0.0,ok,,True,84.4,114,55,0,10,49,207,78,513,0,3,1307,1310,399,256,334,0
dalek-verus,verus,2026-03-27,3f3443e0bfd5bd9a4742c28457cd4c79eaff20d1,2026-03-26T11:54:58+00:00,probe-verus,7.0.0,ok,,True,84.9,139,44,0,0,49,231,77,540,0,3,1480,1483,401,280,357,0
dalek-verus,verus,2026-04-17,d4c6a944625d7e2473899e28a5129baa05cd3080,2026-04-14T09:34:16+00:00,probe-verus,7.0.0,ok,,True,51.6,139,44,0,0,49,231,77,540,0,3,1480,1483,401,280,357,0
dalek-verus,verus,2026-05-22,9bb7fd09c3b9dbd52ff2dca9a75e618c751b79a7,2026-05-21T16:05:51+00:00,probe-verus,7.0.0,ok,,True,66.8,139,44,0,0,27,253,77,540,0,1,1482,1483,401,280,357,0
dalek-verus,verus,2026-07-17,5b70dd7377ad8057008140155358f546a8e26c81,2026-07-17T13:37:07+00:00,probe-verus,7.0.0,ok,,True,70.6,195,0,0,0,27,253,61,536,0,1,1482,1483,341,280,341,0
