repo,pipeline,sample_date,commit,commit_date,tool,tool_version,status,reason,commit_validated,duration_sec,grey,white,red,yellow,light_green,dark_green,purple,exec_total,dot_red,dot_yellow,dot_green,art_total,tracked,verified,verified_trusted,translated,bp_nodes_total,bp_nodes_bound,bp_nodes_planned,bp_nodes_decl_missing,bp_def_total,bp_def_formalized,bp_thm_total,bp_thm_formalized,bp_thm_proved,bp_thm_proved_confirmed,bp_def_verified,bp_def_trusted,bp_def_in_progress,bp_def_failed,bp_def_unrealized,bp_thm_verified,bp_thm_trusted,bp_thm_in_progress,bp_thm_failed,bp_thm_unrealized,lean_def_total,lean_def_sorry,lean_def_verified,lean_def_trans_verified,lean_def_trusted,lean_def_failed,lean_thm_total,lean_thm_sorry,lean_thm_verified,lean_thm_trans_verified,lean_thm_trusted,lean_thm_failed
secure-messaging,leanblueprint,2026-06-24,0c63f03635b097fa6ff0d13fb3deb9d55ff8982b,2026-06-24T16:46:47+00:00,probe-leanblueprint,0.2.0,ok,,True,807.6,,,,,,,,,,,,,,,,,116,17,99,0,55,13,61,4,4,4,13,0,0,0,0,4,0,0,0,0,,,,,,,,,,,,
secure-messaging,leanblueprint,2026-07-01,e8bbb8f92dc1d1ff878e569f5b11caf4d1f9b37c,2026-07-01T10:12:29+00:00,probe-leanblueprint,0.2.0,ok,,True,640.0,,,,,,,,,,,,,,,,,108,23,85,0,51,18,57,5,5,5,18,0,0,0,0,5,0,0,0,0,,,,,,,,,,,,
secure-messaging,leanblueprint,2026-07-08,9d88d067a4952939839e387982eef63bbacb89fa,2026-07-07T07:05:03+00:00,probe-leanblueprint,0.2.0,ok,,True,711.1,,,,,,,,,,,,,,,,,108,24,84,0,53,19,55,5,5,5,19,0,0,0,0,5,0,0,0,0,,,,,,,,,,,,
secure-messaging,leanblueprint,2026-07-15,86b5f48bd6ee0ad7fd73966892be508487222eb0,2026-07-15T21:20:46+00:00,probe-leanblueprint,0.2.0,ok,,True,699.5,,,,,,,,,,,,,,,,,108,26,82,0,53,20,55,6,6,6,20,0,0,0,0,6,0,0,0,0,,,,,,,,,,,,
secure-messaging,leanblueprint,2026-07-22,08176cf8b75283bd82cf162caae4dcbf1ea4974b,2026-07-21T15:54:32+00:00,probe-leanblueprint,0.2.0,ok,,True,768.2,,,,,,,,,,,,,,,,,114,36,77,1,58,28,56,9,9,9,27,0,0,0,1,9,0,0,0,0,,,,,,,,,,,,
secure-messaging,leanblueprint,2026-07-29,7af6862c961a105d2858d29b07c6a65f72508fa2,2026-07-29T11:29:40+00:00,probe-leanblueprint,0.3.0,ok,,True,1075.4,,,,,,,,,,,,,,,,,119,43,75,1,64,33,55,11,11,11,32,0,0,0,1,11,0,0,0,0,,,,,,,,,,,,
secure-messaging,leanblueprint,2026-08-05,300a69e797d9762d772a6206c36e810c043bb2d1,2026-08-04T05:51:09+00:00,probe-leanblueprint,0.3.0,ok,,True,843.7,,,,,,,,,,,,,,,,,121,48,72,1,64,35,57,14,14,14,34,0,0,0,1,14,0,0,0,0,,,,,,,,,,,,
secure-messaging,leanblueprint,2026-08-12,58caf9cdda26b850c91606fdda999b8007c10886,2026-08-06T08:58:04+00:00,probe-leanblueprint,0.3.0,ok,,True,867.8,,,,,,,,,,,,,,,,,124,51,72,1,67,38,57,14,14,14,37,0,0,0,1,14,0,0,0,0,,,,,,,,,,,,
secure-messaging,leanblueprint,2026-08-19,d59b142066ec492b60095d4d09712ef1ea9dea24,2026-08-14T14:30:18+00:00,probe-leanblueprint,0.3.0,ok,,True,1101.8,,,,,,,,,,,,,,,,,129,56,72,1,72,43,57,14,14,14,42,0,0,0,1,14,0,0,0,0,,,,,,,,,,,,
secure-messaging,leanblueprint,2026-08-26,4997eb80402b7b0cd11a6237d3ca688f5e6594cd,2026-08-26T20:27:31+00:00,probe-leanblueprint,0.3.0,ok,,True,1067.5,,,,,,,,,,,,,,,,,143,62,80,1,80,48,63,15,15,15,47,0,0,0,1,15,0,0,0,0,,,,,,,,,,,,
secure-messaging,leanblueprint,2026-09-02,8e4ed3c689315b494acfe7e4ca28170b4412524b,2026-09-02T07:21:27+00:00,probe-leanblueprint,0.3.0,ok,,True,1094.7,,,,,,,,,,,,,,,,,143,62,80,1,80,48,63,15,15,15,47,0,0,0,1,15,0,0,0,0,,,,,,,,,,,,
secure-messaging,leanblueprint,2026-09-09,d618450008f8cdb62bbf7c653a41ab9dfbf1b72a,2026-09-09T07:50:03+00:00,probe-leanblueprint,0.3.0,ok,,True,652.2,,,,,,,,,,,,,,,,,147,72,74,1,84,58,63,15,15,15,57,0,0,0,1,15,0,0,0,0,,,,,,,,,,,,
